What is the name of the dog you would like to submit a response for?,What is the gender of {{field:dog_name}},Do you know the age of {{field:dog_name}}?,Please enter the age of {{field:dog_name}} in months:,Did you acquire {{field:dog_name}} between 2 and 6 months?,Did {{field:dog_name}} attend puppy training classes between 2 and 6 months?,What style of training was taught to you and {{field:dog_name}} during class?,Where was puppy training offered?,Did {{field:dog_name}} attend any training classes after 6 months of age?,What style of training was used?,Who trained you and {{field:dog_name}}?,At what age did you complete training {{field:dog_name}}?,Is there at least one situation in which {{field:dog_name}} behaves aggressively?,Who or what has {{field:dog_name}} acted aggressively toward?,Is there at least one situation in which {{field:dog_name}} is fearful or anxious?,What sort of fears and/or anxiety has {{field:dog_name}} had?,Do you consider {{field:dog_name}} to have a problem with jumping up on people?,Who does {{field:dog_name}} jumped up on?,Does {{field:dog_name}} bark excessively?,When has {{field:dog_name}} excessively barked?,Has {{field:dog_name}} ever eaten feces?,What type of feces has {{field:dog_name}} eaten?,Has {{field:dog_name}} ever had any repetitive behaviors?,What sort of repetitive behaviors have you seen with {{field:dog_name}}?,Have you ever had a problem with {{field:dog_name}} soiling in the house?,When has {{field:dog_name}} soiled in the house?,How has {{field:dog_name}} soiled in the house?,Where has {{field:dog_name}} soiled in the house?,Has {{field:dog_name}} ever rolled in repulsive material?,In what repulsive material has {{field:dog_name}} rolled?,Do you consider{{field:dog_name}} to be overactive/hyperactive?,In what ways has {{field:dog_name}} been overactive/hyperactive?,Has {{field:dog_name}} ever exhibited destructive behavior in the home (other than puppy chewing behavior)?,When has {{field:dog_name}} been destructive?,Has {{field:dog_name}} ever run away/escaped?,Which of the following describes how {{field:dog_name}} has run away/escaped?,Have you ever had a problem with {{field:dog_name}} mounting/humping?,Who or what has {{field:dog_name}} mounted/humped?,Would you like to enter information for another dog you own?,id,msg,list,sep,Submitted At,Token
Winnie,Female,Yes,144.0,True,Yes,Reward based,Hired private in-home trainer,Yes,Reward based,Hired in home private trainer,Continue to practice and use training skills in home,False,,False,,False,,False,,False,,False,,False,,,,True,Things on the beach,False,,False,,False,,False,,True,bc2535853e3584bf1424711232154515,,, ,5/5/2020 21:24:30,ax99t79u2g07v08np751ax99t728rb3r
Jada,Female,Yes,120.0,False,No,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,"Strangers visiting the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home, Animals other than dogs, Strangers away from the home",True,"Fear of crowds, Generalized anxiety, Post-traumatic Stress Disorder (PTSD)",False,,False,,True,"Dog feces other than their own, The feces of other animals",True,Licking of the wrist/hock,True,Owners are away,Both feces and urine,Anywhere,False,,False,,True,Owner is away,False,,False,,False,1cb572f2e554c864875b37e0ba8f71de,,, ,5/5/2020 21:27:14,64fy5snccjn77zgscvwads64fy5zgubb
Rascal,Male,Yes,114.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,"Familiar dogs in the home, Unfamiliar dogs in the home",True,Fear of thunderstorms,True,Familiar people,True,At triggers (outside),False,,True,Shadow/light chasing,False,,,,True,Dead stuff,True,Impulsiveness,False,,False,,False,,False,ec489ad5b956604c97a416b22b84ad9b,,, ,5/5/2020 21:31:01,76w2jotgqb7gtlstmzz3q8076w2jotv2
Griffin,Male,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,76b3daa8ddeab52bea5802619708633f,,, ,5/5/2020 21:24:43,fbhcvjy0ickbiam76m88fbhv1oyv6x3i
Hope,Female,Yes,25.0,True,Yes,Reward based,Hired private in-home trainer,Yes,Reward based,Hired in home private trainer,Continue to practice and use training skills in home,False,,False,,False,,False,,True,Dog feces other than their own,False,,False,,,,False,,False,,False,,False,,False,,False,bc2535853e3584bf1424711232154515,We have submissions for:,,", ",5/5/2020 21:26:21,grf6z4jwrj1wn34anmd92qgrf6z4j1y4
Summit,Male,Yes,13.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to practice and use training skills in home, Continue to attend classes periodically (nose work, agility, trick training, etc.)",False,,False,,False,,True,"At triggers (inside), At triggers (outside), Owners are present, To get attention",True,"Their own feces, Dog feces other than their own",True,Spinning,False,,,,False,,False,,False,,False,,False,,True,87e7b5b45228db25af463895f2cf7ac0,,, ,5/5/2020 21:33:57,7mob2pnj2hdpc79l7mob6ymyaht102go
Clover,Female,Yes,48.0,True,No,,,No,,,,False,,True,Fear of thunderstorms,False,,False,,True,Dog feces other than their own,False,,False,,,,False,,False,,False,,False,,False,,True,5ea96990da2ddf156bbe07cd8968c78c,,, ,5/5/2020 21:34:39,r42047hqtd9wfej7xs6r420lkaksveh2
Lucky,Male,Yes,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3f3467f3ef7f5c9cd017c471bde5999d,,, ,5/5/2020 21:33:01,mment5yj4ftezbswnlw2tmment5u9yex
Riley,Male,Yes,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,3f3467f3ef7f5c9cd017c471bde5999d,We have submissions for:,,", ",5/5/2020 21:33:22,6k5ik8gpqq9y2as8yg6k5ik02t9uwnhz
Puccini,Male,Yes,12.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,True,Familiar dogs in the home,True,"Travel anxiety, Separation anxiety",True,Owners,True,"At triggers (inside), At triggers (outside), Owners are present",True,The feces of other animals,False,,False,,,,True,Dead stuff,False,,False,,False,,False,,True,164fa9849df911239e63772145eb74b4,,, ,5/5/2020 21:37:58,x18xh4uqzdsrno08ti5x18xhyljmjohm
Caz,Male,Yes,54.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Hired in home private trainer,"Continue to practice and use training skills in home, Continue to attend classes periodically (nose work, agility, trick training, etc.)",False,,True,Fear of noises,True,Familiar people,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,False,b8dd1124468120a524adccf2fd10d087,,, ,5/5/2020 21:39:33,185l0g716x3iwab0wa185lsw3ukqgs6o
Lilly,Female,Yes,134.0,True,No,,,Yes,Reward based,Myself/family member attended group classes,6 to 18 months (adolescence),True,"Unfamiliar dogs away from the home, Animals other than dogs",True,"Fear of veterinary visits, Fear of noises, Fear of thunderstorms, Fear of other dogs, Separation anxiety, Travel anxiety, Generalized anxiety",False,,False,,True,"Dog feces other than their own, Their own feces, The feces of other animals",False,,True,"Owners are present, Exited/overwhelmed",Urine,Specific locations,False,,False,,True,Owner is away,True,"Escapes from confinement, Escaped when out",False,,True,72cfe39d0c362a1dd1b60b0b7d7c298f,,, ,5/5/2020 21:41:26,cegkjfft6akm8dhjxvdncegku6pchtbw
Maggie,Female,Yes,72.0,False,No,,,No,,,,False,,True,"Separation anxiety, Generalized anxiety, Post-traumatic Stress Disorder (PTSD)",False,,False,,False,,True,Licking genitalia ,False,,,,False,,False,,False,,True,Escapes from confinement,False,,True,164fa9849df911239e63772145eb74b4,We have submissions for:,,", ",5/5/2020 21:40:50,jtqwa0sygsr44zxajtqqmd50zljsk4o5
Dunkin,Male,Yes,98.0,True,No,,,No,,,,False,,True,Fear of noises,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,True,5ea96990da2ddf156bbe07cd8968c78c,,, ,5/5/2020 21:40:10,w8ngtt9sfrydtfurw8ngjnyau932ca3u
Colby,Male,Yes,24.0,True,No,,,No,,,,False,,True,Fear of thunderstorms,False,,False,,False,,False,,False,,,,False,,True,"Difficulty settling, Easily distracted",False,,False,,False,,False,5ea96990da2ddf156bbe07cd8968c78c,We have submissions for:,,", ",5/5/2020 21:42:05,vyipiz1ok842vyabk6k3uxmygg9wq54e
Maxine,Female,Yes,178.0,True,No,,,No,,,,True,Familiar dogs in the home,True,"Fear of veterinary visits, Separation anxiety",False,,True,"At triggers (outside), Owners are away, To get attention",False,,False,,True,"Owners are present, Owners are away",Both feces and urine,Specific locations,True,Dead stuff,False,,False,,True,Escapes from confinement,False,,False,164fa9849df911239e63772145eb74b4,We have submissions for:,,", ",5/5/2020 21:45:11,dpi739zfccpeggrunndpi7szxoblqlqw
Bren,Male,Yes,40.0,False,No,,,No,,,,False,,False,,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,True,"People, Familiar dogs, Unfamiliar dogs",False,72cfe39d0c362a1dd1b60b0b7d7c298f,We have submissions for:,,", ",5/5/2020 21:43:29,9p6g036gm8vsigw43vh9p6g03154rtir
Keeper,Male,Yes,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,b106ca3190fbd4da89536f893d1f3a43,,, ,5/5/2020 21:42:35,76qj9u4i0un5f6ur76qj9oqgz1kkjdp3
Swish,Female,Yes,50.0,False,No,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",False,,False,,True,"Familiar people, Stangers",False,,False,,False,,False,,,,True,"Urine, Feces, Dead stuff",False,,False,,False,,False,,True,b106ca3190fbd4da89536f893d1f3a43,We have submissions for:,,", ",5/5/2020 21:45:27,yttq4351numl5hyttqof9dco8zx27c6m
Shazam,Male,Yes,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,c5e832614f9e37bd37770cb245d53c30,,, ,5/5/2020 21:43:57,nv64lsdxcr43jqm4bnv648wpw5mh74c6
Keeper,Male,Yes,61.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",False,,False,,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,False,b106ca3190fbd4da89536f893d1f3a43,We have submissions for:,,", ",5/5/2020 21:47:28,hbk74mf8ed1txlv6jehlhbk74mfsurva
Ziggy,Male,Yes,109.0,False,I don't know,,,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,"6 to 18 months (adolescence), 18-36 months (social maturity), Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,"Strangers visiting the home, Strangers away from the home, Unfamiliar dogs away from the home",True,Generalized anxiety,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,False,8e05a4dd345405f666f36ce6a797200f,,, ,5/5/2020 23:09:01,wu3s8aeygydsgjwu3ssm1fzqgrc6frsm
Falcon,Female,Yes,17.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,"Familiar dogs in the home, Unfamiliar dogs in the home",True,She is afraid of baths. I have to bathe her weekly for a skin condition and she cowers and shakes.,False,,False,,True,The feces of other animals,True,"Collecting/arranging objects, She licks/chews at her feet and legs because of skin condition.",False,,,,False,,False,,False,,False,,False,,True,bef667f8ea405b6efcad445d1aab6c6b,,, ,5/5/2020 21:51:58,uamwysibglck22f6tuampgysahzu1vc8
Turk,Male,Yes,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,ece46ceba2f24058e12fe06f8d212cb9,,, ,5/5/2020 21:49:31,gn7pjtztm4sswdfp0zobgn7p2anml5xs
Chica,Female,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,efc837ab73384cb914b8e6283f77f88a,,, ,5/5/2020 21:50:10,igjs7sf0tgoszzv0kigjs7fny0xlfm8b
RuRu,Male,Yes,152.0,True,No,,,No,,,,False,,True,"Fear of noises, Fear of thunderstorms, Fear of animals other than dogs",False,,False,,True,The feces of other animals,False,,False,,,,True,Dead stuff,False,,False,,False,,False,,False,51983b7dbcda5de99d88a0a8e9b40e03,,, ,5/5/2020 21:54:13,q5tql4qh8x130c0uq5tql4btlq341oe7
Djinn,Male,Yes,77.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,"Familiar dogs in the home, Familiar dogs away from the home",True,"Generalized anxiety, Djinn is a very sensitive dog, sometimes that leads to anxiety.",False,,False,,False,,True,"Tail chasing, Tennis ball fetish, Djinn sucks/chews on his back feet for a few minutes each evening. He puts the entire foot in his mouth, up to his hock.",False,,,,False,,False,,False,,False,,False,,False,bef667f8ea405b6efcad445d1aab6c6b,We have submissions for:,,", ",5/5/2020 21:57:31,kmwhyzzorzem0r60luih0j247kmwhyzz
Jax,Male,Yes,90.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,True,Familiar dogs in the home,False,,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,True,Familiar dogs,True,edde806ddb4205305bf8a99e1c130f34,,, ,5/5/2020 21:59:34,o3b76e3c9o5rlhqlqvouyo3b76t5qa5v
Ally,Female,Yes,148.0,False,No,,,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,True,"Strangers visiting the home, Unfamiliar dogs away from the home, Animals other than dogs",True,"Fear of noises, Travel anxiety",False,,False,,False,,False,,False,,,,True,Dead stuff,False,,True,Owner is away,False,,False,,False,26c9db85c769ab4d5f819a9a578b53f1,,, ,5/5/2020 22:02:24,2d981a6lnf8jcjz8z2d9lzivnq2sxsb2
Phoebe,Female,Yes,78.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,18-36 months (social maturity),False,,False,,False,,False,,False,,False,,False,,,,True,"Feces, Dead stuff",False,,False,,False,,False,,True,34db8eab1b50dec8f1997bb8fd4a2688,,, ,5/5/2020 22:02:26,q98lncztvo55501kq98lnc3inwt6tqd1
Cruise,Male,Yes,118.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,True,Familiar dogs in the home,False,,False,,False,,False,,True,Licking feet,False,,,,False,,False,,False,,False,,True,"Familiar dogs, Inanimate objects",True,edde806ddb4205305bf8a99e1c130f34,We have submissions for:,,", ",5/5/2020 22:02:29,eg0pzv2rkvmxfm7feg0pzn251ghxnv0n
Lorca,Female,Yes,102.0,False,I don't know,,,No,,,,True,"Familiar people in the home, Strangers visiting the home, Unfamiliar dogs away from the home, Animals other than dogs, Veterinarians",True,"Fear of crowds, Fear of veterinary visits, Fear of animals other than dogs, Fear of other dogs",False,,False,,True,"Their own feces, The feces of other animals",False,,True,"Owners are present, Owners are away",Both feces and urine,Anywhere,False,,False,,False,,False,,False,,,ef87ef980e6aa9cc397a4c5a5ca28011,,, ,5/5/2020 22:04:18,ze2orowcr9nvx2wtzdze2orowuxdumqs
Moses,Male,Yes,38.0,True,No,,,No,,,,False,,True,Travel anxiety,True,"Familiar people, Stangers",False,,False,,False,,False,,,,False,,True,Constant moving/jumping,False,,False,,False,,False,34db8eab1b50dec8f1997bb8fd4a2688,We have submissions for:,,", ",5/5/2020 22:04:23,qzzfc23d54e4q5qzzfg31t387ixxtkaf
Chase,Male,Yes,17.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,True,Separation anxiety,True,"Owners, Familiar people, Stangers",True,"Owners are present, To get attention, At triggers (outside)",False,,True,"Licking of the wrist/hock, Tail chasing, Digging in the yard",False,,,,False,,True,"Difficulty settling, Easily distracted",True,"Owner is present, Toys",True,Will bolt away when he sees wildlife or neighbor running,False,,False,edde806ddb4205305bf8a99e1c130f34,We have submissions for:,,", ",5/5/2020 22:06:53,h7gumal3sbpuprdbe6gpgklh7gum3xr6
Paxton,Male,Yes,144.0,True,No,,,No,,,,True,"Familiar dogs in the home, Unfamiliar dogs away from the home, Animals other than dogs, Familiar people in the home",True,Generalized anxiety,False,,True,"To get attention, During car rides, At triggers (inside), Owners are present",True,"Their own feces, Dog feces other than their own",True,Collecting/arranging objects,False,,,,False,,False,,False,,False,,True,Familiar dogs,True,311e9098bf4d07c088cbe567b421e180,,, ,5/5/2020 22:18:33,27mqtqo2m2xz546md27mqxs1jgx91ztm
Raleigh,Male,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3afe6bfd50a72bdd02eebfcbdc710645,,, ,5/5/2020 22:11:29,kc9f1bpr0t1y68363kc9f13s0pejms2c
Rayne,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3afe6bfd50a72bdd02eebfcbdc710645,We have submissions for:,,", ",5/5/2020 22:11:52,4edjzhsruc7y0fb4edjzhyst46mtpk5r
Riddick,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,3afe6bfd50a72bdd02eebfcbdc710645,We have submissions for:,,", ",5/5/2020 22:12:09,xiof7m56r33m54cpnz4zjxiof7m578gx
Thor,Male,Yes,86.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,Strangers away from the home,False,,False,,False,,False,,True,obsessive drinking when agitated ,True,Owners are away,Urine,Specific locations,True,"Feces, Garbage, Dead stuff",False,,False,,False,,True,"Familiar dogs, Unfamiliar dogs",True,34b6e80a90dabff3307279aaed2c263f,,, ,5/5/2020 22:20:23,pvtq3p1w6qdjs17b75pvtqprsmdoqwjr
Maddox,Male,Yes,63.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"18-36 months (social maturity), Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,True,Fear of noises,True,"Stangers, Owners, Familiar people",False,,False,,True,"Licking of the wrist/hock, Shadow/light chasing",False,,,,False,,True,"Impulsiveness, Easily distracted, Difficulty settling",True,Owner is away,True,Escapes from home,False,,False,311e9098bf4d07c088cbe567b421e180,We have submissions for:,,", ",5/5/2020 22:24:51,kbesv02p61eoeiqh2bekbesv0hayb06w
Flash,Male,Yes,142.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,"Strangers visiting the home, Unfamiliar dogs away from the home",True,"Fear of noises, Fear of other dogs, Generalized anxiety",False,,False,,True,"Their own feces, Dog feces other than their own, The feces of other animals",False,,False,,,,True,Dead stuff,False,,False,,True,Escapes from home,False,,False,34b6e80a90dabff3307279aaed2c263f,We have submissions for:,,", ",5/5/2020 22:24:11,ow3rormre0nhmow3roa1y2f4dwqgelh0
Flutter,Female,Yes,41.0,False,Yes,Reward based,Myself/family member attended group classes,No,,,,True,Familiar dogs in the home,True,Fear of thunderstorms,True,"Owners, Familiar people",False,,True,Dog feces other than their own,False,,False,,,,False,,False,,False,,False,,False,,False,412ac45524d493215c51731b377f87df,,, ,5/5/2020 22:23:33,cnbeue46kqii8cnwcnbeu2itw0fsyeng
Pikachu,Female,Yes,12.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,True,"Familiar dogs in the home, Familiar dogs away from the home",True,Fear of noises,False,,False,,True,Their own feces,True,"Spinning, Fly snapping (when no flies are around)",True,"Owners are present, Exited/overwhelmed",Both feces and urine,Anywhere,False,,False,,False,,False,,False,,False,e3c9015c3bc2c236b65ab608b8a4f32d,,, ,5/5/2020 22:27:25,ngpg53n9jp4whkngpjbcypxbym3918a5
Pippin,Male,Yes,82.0,True,Yes,Mixed balance of both reward and discipline,Hired private in-home trainer,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,False,,False,,False,,False,,False,,False,,False,,,,True,"Dead stuff, Feces",False,,False,,False,,False,,False,c0ba2e5b0f122df2c519351eb9d2636d,,, ,5/5/2020 22:33:26,8clkmcea4f5iq43161pyr8clkmctwfes
Lady,Female,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,e8f9daee6ba411ece44ac8866b12e3aa,,, ,5/5/2020 22:31:20,gh05zx9dln8nv2irbytggh059r97qfpz
Luna,Female,Yes,104.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,"Unfamiliar dogs in the home, Unfamiliar dogs away from the home, Animals other than dogs",True,"Fear of other dogs, Fear of animals other than dogs",False,,False,,True,The feces of other animals,False,,False,,,,True,"Feces, Dead stuff, Urine",False,,False,,True,Escaped when out,False,,False,d9a14b189252cf960387bbcb81bb3cf4,,, ,5/5/2020 22:48:13,o7oejnussmwn4dfho7oe23f4fdvy8jws
